Civi ID,val,7,8,9,10,,,,,,final trim,
2683,08,,x,,,,08 ,,,08 ,08,2
251,08 09 10,,x,x,x,,08 ,09 ,10 ,08 09 10 ,08 09 10,8
1096,07 09,x,,x,,07 ,,09 ,,07 09 ,07 09,5
2794,07,x,,,,07 ,,,,07 ,07,2
2790,07,x,,,,07 ,,,,07 ,07,2
311,10,,,,x,,,,10 ,10 ,10,2
1098,09,,,x,,,,09 ,,09 ,09,2
564,08,,x,,,,08 ,,,08 ,08,2
2765,07 09,x,,x,,07 ,,09 ,,07 09 ,07 09,5
2767,10,,,,x,,,,10 ,10 ,10,2
2079,08,,x,,,,08 ,,,08 ,08,2
1115,08,,x,,,,08 ,,,08 ,08,2
175,08 09,,x,x,,,08 ,09 ,,08 09 ,08 09,5
76,10,,,,x,,,,10 ,10 ,10,2
2792,07,x,,,,07 ,,,,07 ,07,2
536,09 10,,,x,x,,,09 ,10 ,09 10 ,09 10,5
291,09 10,,,x,x,,,09 ,10 ,09 10 ,09 10,5
537,10,,,,x,,,,10 ,10 ,10,2
1483,09,,,x,,,,09 ,,09 ,09,2
625,08,,x,,,,08 ,,,08 ,08,2
167,09 10,,,x,x,,,09 ,10 ,09 10 ,09 10,5
2791,07,x,,,,07 ,,,,07 ,07,2
1444,07,x,,,,07 ,,,,07 ,07,2
632,10,,,,x,,,,10 ,10 ,10,2
390,07,x,,,,07 ,,,,07 ,07,2
2769,09 10,,,x,x,,,09 ,10 ,09 10 ,09 10,5
262,09,,,x,,,,09 ,,09 ,09,2
7,10,,,,x,,,,10 ,10 ,10,2
89,10,,,,x,,,,10 ,10 ,10,2
2793,07,x,,,,07 ,,,,07 ,07,2
2811,09,,,x,,,,09 ,,09 ,09,2
386,07 09,x,,x,,07 ,,09 ,,07 09 ,07 09,5
451,10,,,,x,,,,10 ,10 ,10,2
112,08 09 10,,x,x,x,,08 ,09 ,10 ,08 09 10 ,08 09 10,8
2803,09,,,x,,,,09 ,,09 ,09,2
309,08,,x,,,,08 ,,,08 ,08,2
434,07 09,x,,x,,07 ,,09 ,,07 09 ,07 09,5
491,10,,,,x,,,,10 ,10 ,10,2
1452,08,,x,,,,08 ,,,08 ,08,2
393,09,,,x,,,,09 ,,09 ,09,2
539,09,,,x,,,,09 ,,09 ,09,2
710,09,,,x,,,,09 ,,09 ,09,2
397,10,,,,x,,,,10 ,10 ,10,2
712,09,,,x,,,,09 ,,09 ,09,2
725,10,,,,x,,,,10 ,10 ,10,2
2801,08,,x,,,,08 ,,,08 ,08,2
303,07,x,,,,07 ,,,,07 ,07,2
2812,09,,,x,,,,09 ,,09 ,09,2
9,10,,,,x,,,,10 ,10 ,10,2
524,09,,,x,,,,09 ,,09 ,09,2
134,07 08 09,x,x,x,,07 ,08 ,09 ,,07 08 09 ,07 08 09,8
356,10,,,,x,,,,10 ,10 ,10,2
2773,10,,,,x,,,,10 ,10 ,10,2
2804,09,,,x,,,,09 ,,09 ,09,2
540,07 10,x,,,x,07 ,,,10 ,07 10 ,07 10,5
2538,07,x,,,,07 ,,,,07 ,07,2
63,10,,,,x,,,,10 ,10 ,10,2
88,10,,,,x,,,,10 ,10 ,10,2
115,08 09 10,,x,x,x,,08 ,09 ,10 ,08 09 10 ,08 09 10,8
5,08,,x,,,,08 ,,,08 ,08,2
435,08 09,,x,x,,,08 ,09 ,,08 09 ,08 09,5
2795,07,x,,,,07 ,,,,07 ,07,2
149,08 09,,x,x,,,08 ,09 ,,08 09 ,08 09,5
64,07 08 09,x,x,x,,07 ,08 ,09 ,,07 08 09 ,07 08 09,8
2778,10,,,,x,,,,10 ,10 ,10,2
856,08 09,,x,x,,,08 ,09 ,,08 09 ,08 09,5
124,07 09,x,,x,,07 ,,09 ,,07 09 ,07 09,5
182,07 09,x,,x,,07 ,,09 ,,07 09 ,07 09,5
2796,08,,x,,,,08 ,,,08 ,08,2
10,10,,,,x,,,,10 ,10 ,10,2
874,10,,,,x,,,,10 ,10 ,10,2
2802,08,,x,,,,08 ,,,08 ,08,2
2808,09,,,x,,,,09 ,,09 ,09,2
144,09 10,,,x,x,,,09 ,10 ,09 10 ,09 10,5
176,07 09,x,,x,,07 ,,09 ,,07 09 ,07 09,5
2800,08,,x,,,,08 ,,,08 ,08,2
459,07 08 09,x,x,x,,07 ,08 ,09 ,,07 08 09 ,07 08 09,8
2762,10,,,,x,,,,10 ,10 ,10,2
1269,09,,,x,,,,09 ,,09 ,09,2
424,09 10,,,x,x,,,09 ,10 ,09 10 ,09 10,5
2805,09,,,x,,,,09 ,,09 ,09,2
543,09 10,,,x,x,,,09 ,10 ,09 10 ,09 10,5
2779,09,,,x,,,,09 ,,09 ,09,2
2799,08 09,,x,x,,,08 ,09 ,,08 09 ,08 09,5
2780,10,,,,x,,,,10 ,10 ,10,2
939,07,x,,,,07 ,,,,07 ,07,2
1279,09,,,x,,,,09 ,,09 ,09,2
2809,09,,,x,,,,09 ,,09 ,09,2
2797,08,,x,,,,08 ,,,08 ,08,2
125,08 09 10,,x,x,x,,08 ,09 ,10 ,08 09 10 ,08 09 10,8
378,08,,x,,,,08 ,,,08 ,08,2
185,09 10,,,x,x,,,09 ,10 ,09 10 ,09 10,5
1286,09,,,x,,,,09 ,,09 ,09,2
116,08 09 10,,x,x,x,,08 ,09 ,10 ,08 09 10 ,08 09 10,8
968,09,,,x,,,,09 ,,09 ,09,2
511,07 08 09 10,x,x,x,x,07 ,08 ,09 ,10 ,07 08 09 10 ,07 08 09 10,11
1297,10,,,,x,,,,10 ,10 ,10,2
2798,08,,x,,,,08 ,,,08 ,08,2
2655,10,,,,x,,,,10 ,10 ,10,2
2806,09,,,x,,,,09 ,,09 ,09,2
2763,10,,,,x,,,,10 ,10 ,10,2
417,07,x,,,,07 ,,,,07 ,07,2
2720,09,,,x,,,,09 ,,09 ,09,2
470,07 08 09,x,x,x,,07 ,08 ,09 ,,07 08 09 ,07 08 09,8
2810,09,,,x,,,,09 ,,09 ,09,2
126,10,,,,x,,,,10 ,10 ,10,2
169,08 09,,x,x,,,08 ,09 ,,08 09 ,08 09,5
198,09,,,x,,,,09 ,,09 ,09,2
425,07,x,,,,07 ,,,,07 ,07,2
544,08 09,,x,x,,,08 ,09 ,,08 09 ,08 09,5
