Civi ID,val
2683,8
251,08 09 10
1096,07 09
2794,7
2790,7
311,10
1098,9
564,8
2765,07 09
2767,10
2079,8
1115,8
175,08 09
76,10
2792,7
536,09 10
291,09 10
537,10
1483,9
625,8
167,09 10
2791,7
1444,7
632,10
390,7
2769,09 10
262,9
7,10
89,10
2793,7
2811,9
386,07 09
451,10
112,08 09 10
2803,9
309,8
434,07 09
491,10
1452,8
393,9
539,9
710,9
397,10
712,9
725,10
2801,8
303,7
2812,9
9,10
524,9
134,07 08 09
356,10
2773,10
2804,9
540,07 10
2538,7
63,10
88,10
115,08 09 10
5,8
435,08 09
2795,7
149,08 09
64,07 08 09
2778,10
856,08 09
124,07 09
182,07 09
2796,8
10,10
874,10
2802,8
2808,9
144,09 10
176,07 09
2800,8
459,07 08 09
2762,10
1269,9
424,09 10
2805,9
543,09 10
2779,9
2799,08 09
2780,10
939,7
1279,9
2809,9
2797,8
125,08 09 10
378,8
185,09 10
1286,9
116,08 09 10
968,9
511,07 08 09 10
1297,10
2798,8
2655,10
2806,9
2763,10
417,7
2720,9
470,07 08 09
2810,9
126,10
169,08 09
198,9
425,7
544,08 09
